Club Name,Description,Commitment Level,Categories,Image URL,Link
StuySails,StuySails aims to give students the opportunity to learn how to sail and to give current sailors the resources to improve their sailing skills.,Low Commitment,"Club Sports & Recreational Games, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuysails/e5712253",/stuysails
Stuyvesant Board of Elections,"The Stuyvesant Board of Elections, or BOE, is the organization that facilitates the election of Student Union and Caucus candidates into office.",Medium Commitment,"Academic & Professional, Student Support & Government","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/boe/494481c4",/boe
Rock the Street Wall Street,RTSWS is a financial & investment literacy program designed to spark the interest of a diverse population of high school girls into careers in finance,Medium Commitment,"Academic & Professional, Public Speaking, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/rtsws/6b617642",/rtsws
Stuyvesant MOH,Stuy MOH's mission is to raise money and use student knowledge and resources to help develop the non-profit organization: Miracle of Help.,Medium Commitment,"Community Service & Volunteering, Student Support & Government","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuymoh/17b3327d",/stuymoh
Stuy Soup Society,"Stuyvesant Soup Society aims to cultivate a sense of unity, cultural exploration, and community engagement through the delightful medium of soup.",Low Commitment,"Community Service & Volunteering, Cultural & Religious, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/soupclub/74854205",/soupclub
Stuy Survey Services,Stuy Survey Services aims to uncover the opinions of the student body through periodic surveys on a diverse range of topics.,Low Commitment,"Academic & Professional, STEM, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/surveyservices/438d79a7",/surveyservices
Moot Court,"Practice public speaking while strengthening persuasion skills, thinking on the spot, professional vocabulary, legal argumentation!",Medium Commitment,"Academic & Professional, Public Speaking, Student Support & Government","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/mootcourt/c1aa2b83",/mootcourt
The Metis Project,The Metis Project is an enrichment service focused on providing free tutoring to various communities in NYC.,Medium Commitment,"Academic & Professional, Community Service & Volunteering, Student Support & Government","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/metisproject/a6f99e8e",/metisproject
Deutscher Kulturklub,"Deutscher Kulturklub is a welcoming community where students can explore the vibrant culture of Germany through food, films, music, and language.",Low Commitment,"Academic & Professional, Cultural & Religious, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/deutscherkulturklub/daed93fc",/deutscherkulturklub
The Biology Society,"The mission of Biology Society is to create an explorative, collaborative environment to teach others in meaningful and creative ways.",Medium Commitment,"Academic & Professional, Community Service & Volunteering, STEM","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/biologysociety/c3c23791",/biologysociety
Stuyvesant Writing Center,The Stuyvesant Writing Center enlists students with exemplary writing skills and trains them to help their peers improve their own writing!,Medium Commitment,"Academic & Professional, Community Service & Volunteering","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuywc/141d614c",/stuywc
